;"World"
"1850-01-01 00:00:21";925,52
"1851-01-01 00:00:21";951,64
"1852-01-01 00:00:21";981,95
"1853-01-01 00:00:21";1014,3
"1854-01-01 00:00:21";1075,68
"1855-01-01 00:00:21";1105,04
"1856-01-01 00:00:21";1144,66
"1857-01-01 00:00:21";1167,54
"1858-01-01 00:00:21";1191,63
"1859-01-01 00:00:21";1232,48
"1860-01-01 00:00:21";1282,95
"1861-01-01 00:00:21";1318,04
"1862-01-01 00:00:21";1344,99
"1863-01-01 00:00:21";1395,88
"1864-01-01 00:00:21";1449,58
"1865-01-01 00:00:21";1494,09
"1866-01-01 00:00:21";1528,74
"1867-01-01 00:00:21";1594,83
"1868-01-01 00:00:21";1637,6
"1869-01-01 00:00:21";1701,04
"1870-01-01 00:00:21";1738,19
"1871-01-01 00:00:21";1799,66
"1872-01-01 00:00:21";1909,21
"1873-01-01 00:00:21";1991,3
"1874-01-01 00:00:21";1972,06
"1875-01-01 00:00:21";2058,74
"1876-01-01 00:00:21";2096,16
"1877-01-01 00:00:21";2155,76
"1878-01-01 00:00:21";2183,73
"1879-01-01 00:00:21";2294,94
"1880-01-01 00:00:21";2443,19
"1881-01-01 00:00:21";2507,49
"1882-01-01 00:00:21";2607,64
"1883-01-01 00:00:21";2708,33
"1884-01-01 00:00:21";2756,26
"1885-01-01 00:00:21";2789,79
"1886-01-01 00:00:21";2842,28
"1887-01-01 00:00:21";2935,27
"1888-01-01 00:00:21";3143,23
"1889-01-01 00:00:21";3125,7
"1890-01-01 00:00:21";3278
"1891-01-01 00:00:21";3367,52
"1892-01-01 00:00:21";3413,67
"1893-01-01 00:00:21";3427,97
"1894-01-01 00:00:21";3508,15
"1895-01-01 00:00:21";3626,26
"1896-01-01 00:00:21";3706,5
"1897-01-01 00:00:21";3810,11
"1898-01-01 00:00:21";3931,62
"1899-01-01 00:00:21";4117,04
"1900-01-01 00:00:21";4248,69
"1901-01-01 00:00:21";4340,43
"1902-01-01 00:00:21";4427,66
"1903-01-01 00:00:21";4656,57000000001
"1904-01-01 00:00:21";4717,19
"1905-01-01 00:00:21";4913,27
"1906-01-01 00:00:21";5075,03
"1907-01-01 00:00:21";5446,31
"1908-01-01 00:00:21";5372,94
"1909-01-01 00:00:21";5526,68
"1910-01-01 00:00:21";5703,09
"1911-01-01 00:00:21";5791,52
"1912-01-01 00:00:00";5980,22
"1913-01-01 00:00:00";6286,63
"1914-01-01 00:00:00";6023,15
"1915-01-01 00:00:00";6032,34
"1916-01-01 00:00:00";6335,27
"1917-01-01 00:00:00";6531,91000000001
"1918-01-01 00:00:00";6540,27
"1919-01-01 00:00:00";6114,46
"1920-01-01 00:00:00";6630,1
"1921-01-01 00:00:00";6226,59
"1922-01-01 00:00:00";6414,35
"1923-01-01 00:00:00";6912,96
"1924-01-01 00:00:00";6954,86
"1925-01-01 00:00:00";7027,63
"1926-01-01 00:00:00";7011,26
"1927-01-01 00:00:00";7405,86
"1928-01-01 00:00:00";7426,71
"1929-01-01 00:00:00";7775,15
"1930-01-01 00:00:00";7473,68
"1931-01-01 00:00:00";7065,61
"1932-01-01 00:00:00";6746,42
"1933-01-01 00:00:00";6944,78
